Question	Answer
Isn't there any purchasing opportunity without entering the Whitelist list?	You can make purchases through FCFS Round, but you will not be a purchase guarantee
Where can we make a buy-sell?	You can make your IDO purchases through https://bsr.binstarter.io/ido/projects by entering the page of the project you want to invest in. In addition, you can make your BSR purchases through https://pancakeswap.finance/swap?inputCurrency=BNB&outputCurrency=0xab287e6D370C61f105630e656B5468ACB4D00423 address.
Which network? bsc or bnb? should we have bnb?	Binstarter is a multi-chain platform. Project sales can be participated through Etherium, Avalange, Polygon and BSC
Is the Contract address certain?	Our contract address is: 0xab287e6d370c61f105630e656b5468acb4d00423
How can I get it in the fastest way from Pancakeswap?	https://pancakcakeswap.finance/swap?inputcurrency=bnb&outputcurrency=0xab287e6d370c61f105630e656b5468ACB4D00423
How much should I do the Slipage ratio?	1-1,5%
Does anyone have information on where we can follow up after buying from Pancakeswap?	You can check the following addresses. Poocoin dextols. (https://www.dextools.io/app/en/bnb/pair-explorer/0xe1c69ac41bb536a90c82a443d9063f85e7932a70). (https://poocoin.app/tokens/0xab287e6d370c61f105630e656b5468acb4d00423)
Who are the partners of the binstarter?	Our Partner List is constantly updated and strengthened. You can reach the latest version of the list on https://binstarter.io
Are the project listing dates certain?	All the details of the projects are available on our site. You can find this information at https://bsr.binstarter.io/ido/projects
Where and how do we reach the latest project announcements?	You can easily access this information through our social media accounts. Our social media networks are Telegram: https://t.me/BinStarterAnnouncement Twitter: https://twitter.com/BinStarterio. . you can reach our other social media addresses through our website.
I have no BSC network in my metamask	By visiting this address, you can easily add. https: //academy.binance.com/en/articles/connecting-metamask-to-binance-smart-chain
How much is the Fee for trading?	0,01
Can we get from any pair from the pancake? It is not necessary to buy Bsr with BNB, right?	Our active pairs are BSR/BNB and BSR/USDT. You can buy using any of them.
Which pairs are available	Our active pairs are BSR/BNB and BSR/USDT. You can buy using any of them.
Is there a purchase limit on pancakes?	There are no limits. You can buy as much as you want. The more tokens you buy, the higher the percentage of income you will have in the Staking pools.
What is staking?	The process of locking and not selling your tokens for a certain period of time is called a staking, in return for which you are entitled to receive a staking reward from the pool. The reward increases in direct proportion to the amount you stake.
Where and from which page can the stake process be done?	You can use https://bsr.binstarter.io/stake for the stake process.
I staked the coins in my account, they all disappeared from my account, what should I do	When you stake your tokens, the amount that you stake will be deducted  from your wallet. It will appear on the Pools menu on the website. You can follow up your tokens via https://bsr.binstarter.io/stake.
Do I need to click on Unstake tokens to stop the stake	Yes, at the end of the cooling time, you can transfer to your account by pressing the Claim Token button.
How much coin do I need to get a staking bonus	We have 8 different stake pools, the amount of entrance of each pool is different from each other, your stake pool will be determined automatically according to the amount you stake. You can access the pools from the https://bsr.binstarter.io/stake page.
How is staking different from interest?	You can think of the stake process as a loyality program, you promise you will not sell it, in return, you are entitled to receive an award from a reward pool.
How much do I need to buy for the guarantee right	You need to buy enough to get into the minimum 1st staking pool
Are we able to add tokens while the staking continues?	Yes, you can. if the amount of tokens you add will be enough to enter to the next Tier, your Tier transition will automatically take place and you will start to receive higher staking reward.
Is there a place where I can learn the staking process in detail?	Of course, detailed information is available at https://support.binstarter.io/article/17-How-to-stake-bsr-on-binstarter-app.
Do we have to stake to participate in Binstarter's  IDO's?	No, you can buy through the FCFS public round if there will be any left over allocations for the specific IDO. However, you will not have any purchase guarantee. The purchase guarantee is exclusive to users who are staking.
How do we choose the Stake Pool?	It is automatically determined according to the amount of token you want to deposit in the Stake Pool. You don't need to do anything special.
Where can we see the undistributed tokens of the projects?	According to the token distribution calendar determined by the projects; You can follow https://bsr.binstarter.io/my-allocations.
Where can I claim  the tokens of the projects that are opened for distribution?	According to the token distribution calendar determined by the projects; You can follow and claim your tokens at https://bsr.binstarter.io/my-allocations.
Can I Stake the Locked Tokens of the Projects	No, unfortunately, Locked tokens are not yet available for use, so they cannot be used in any operation.
What is the use of more Token Stake?	By staking more coins, you can upgrade your pool and take advantage of higher return opportunities.
